sold_price_raw,living_area_raw,plot_area_raw,rooms_raw,operating_cost_raw,latitude,longitude,house_age,type_Parhus,type_Radhus,type_Villa,plot_living_ratio,dist_partille_center_km,dist_gbg_center_km,dist_partille_station_km,dist_jonsered_station_km,dist_ostra_km,dist_e20_partille_km,dist_e45_gamlestadsmotet_km,dist_e20_jonsered_lerum_km,dist_rv40_landvetter_km,dist_delsjon_km,dist_kasjon_km,dist_partille_golf_km,dist_jonsered_herrgard_km,min_dist_center_km,min_dist_transport_km,min_dist_workplace_km,min_dist_infrastructure_km,min_dist_recreation_km,sold_year,sold_month,rooms_missing
3250000,60.0,508.0,0.0,2982.0,57.739056,12.06399,77.0,False,False,True,8.466666666666667,2.5,6.3,2.5,6.6,2.2,2.6,2.9,6.6,15.0,2.5,6.8,4.6,6.4,2.5,2.5,2.2,2.6,2.5,2015,2,1
3120000,80.0,364.0,5.0,2479.0,57.737843,12.059753,80.0,False,False,True,4.55,2.8,6.0,2.8,6.9,2.0,2.9,2.6,6.8,15.2,2.2,7.1,4.9,6.7,2.8,2.8,2.0,2.6,2.2,2015,1,0
3050000,138.0,668.0,5.0,2802.0,57.738386,12.135162,59.0,False,False,True,4.840579710144928,1.7,10.1,1.7,2.6,5.4,1.6,6.9,2.5,11.3,5.9,3.5,0.6,2.6,1.7,1.7,5.4,1.6,0.6,2014,11,0
5350000,137.0,730.0,0.0,2982.0,57.703995,12.136923,36.0,False,False,True,5.328467153284672,4.4,9.7,4.4,5.5,5.4,4.5,7.3,5.4,9.7,5.9,7.0,4.3,5.8,4.4,4.4,5.4,4.5,4.3,2015,1,1
3000000,133.0,326.0,6.0,2982.0,57.721033,12.127716,46.0,False,False,True,2.4511278195488724,2.4,9.2,2.4,4.2,4.6,2.5,6.3,4.1,10.8,5.1,5.4,2.5,4.4,2.4,2.4,4.6,2.5,2.5,2015,1,0
2330000,87.0,127.0,4.0,2500.0,57.738788,12.0929,63.0,False,False,True,1.4597701149425288,0.8,7.8,0.8,4.9,3.2,0.9,4.4,4.9,13.5,3.7,5.3,2.9,4.8,0.8,0.8,3.2,0.9,2.9,2014,10,0
2925000,85.0,110.0,0.0,2982.0,57.738625,12.061302,62.0,False,True,False,1.2941176470588236,2.7,6.1,2.7,6.8,2.1,2.8,2.7,6.7,15.2,2.4,7.0,4.8,6.6,2.7,2.7,2.1,2.7,2.4,2015,1,1
2140000,72.0,260.0,5.0,2900.0,57.73740316,12.06140319,88.0,False,True,False,3.611111111111111,2.7,6.1,2.7,6.8,2.0,2.8,2.7,6.8,15.1,2.2,7.0,4.8,6.6,2.7,2.7,2.0,2.7,2.2,2015,1,0
5100000,104.0,710.0,6.0,3313.0,57.7295903,12.0811321,83.0,False,False,True,6.826923076923077,1.9,6.7,1.9,5.9,2.0,2.0,3.6,5.9,13.7,2.6,6.5,3.8,5.8,1.9,1.9,2.0,2.0,2.6,2015,1,0
6850000,173.0,815.0,6.0,1803.0,57.691955,12.127535,15.0,False,False,True,4.710982658959537,5.4,9.3,5.5,7.0,5.6,5.6,7.4,6.9,10.0,6.0,8.4,5.7,7.3,5.4,5.5,5.6,5.6,5.7,2015,1,0
